Title,Description1,Description2,Company_name,Location,Salary_range,Date,Rating
Assistant Manager_Senior engineer_Data Analyst_Bangalore,"They support the team with detailed data analysis, implement dashboards and ensure decision support systems are in place that best serve the business in their…",,Vodafone,"Pune, Maharashtra",,"Posted
Today",3.9
Analyst,Solid data analysis and process mapping skills.,The Digitalization & Process Team is an off-shore team functioning under the Digitalization and Automation…,Vestas,"Chennai, Tamil Nadu",,"Posted
Just posted",3.3
Data Analyst - Data and Analytics,"Develop and promote modern solution/data design approaches that ensure connected data and reusable Data products for business use Ensure business rules, data…",,Intel,"Hybrid remote in Bengaluru, Karnataka",Full-time,"Posted
9 days ago",4.1
Data Analyst,Acquire data from primary or secondary data sources and maintain databases/data systems.,"Develop and implement databases, data collection systems, data…",Rolls Networks,"Bengaluru, Karnataka","₹1,80,000 - ₹3,00,000 a year","Posted
Just posted",
Data Analyst,"*Understand, analyze and interpret data*, and have a passion for *data accuracy and detailing*.",WyzMindz offers tailored software products in analytics for…,Wyzmindz solutions pvt ltd,"Bengaluru, Karnataka","₹1,86,641 - ₹3,50,000 a year","Posted
24 days ago",
"Senior Analyst, Data Analysis","To succeed as an MIS analyst, applicants must be proficient with Microsoft Tools, including Excel and PowerPoint, and also possess advanced computer skills for…",,Standard Chartered,"Chennai, Tamil Nadu",Full-time,"Posted
7 days ago",4.1
Encore - Python Developer - Analyst,This paid 16-week program offers an opportunity to enhance your skills while providing you a role in a client service environment.,,Deloitte,"Bengaluru, Karnataka",Full-time,"Posted
6 days ago",4.0
Data Analyst,Data analyst: 2 years (Preferred).,Knowledge of data visualization tool like Tableau or PowerBI.,LEADS 2 BUSINESS SOLUTIONS P LTD,"Lower Parel, Mumbai, Maharashtra
+2 locations","₹8,50,000 a year","Employer
Active 9 days ago",
Analyst - Data Analytics | Marketing,"In this role, we want analysts to use the data models and reports, to draw actionable and meaningful insights.","Traffic Metrics, broken by Source, Channel, etc.",CashKaro,"Remote in Gurgaon, Haryana",Full-time,"Posted
15 days ago",
Reporting Analyst,"India’s Premier Traders of quality steel tubes, pipes, Steel structurals and fittings.",Stock Reports in Pivot Tables and Accounts outstanding reports partywise…,Bombay Hardware Private Limited,"Chennai, Tamil Nadu","₹20,000 a month","Employer
Active 4 days ago",
